Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.37-23.57.85.103-51866-80-6,192.168.1.37,51866,23.57.85.103,80,6,07/07/2020 02:46:50 PM,56909,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.143826108348414,56909.0,0.0,56909.0,56909.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,17.571913054174207,17.571913054174207,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,237,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.37-23.215.189.35-51867-443-6,192.168.1.37,51867,23.215.189.35,443,6,07/07/2020 02:46:50 PM,60098,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,515.8241538819927,49.918466504708974,30049.0,42494.28912218676,60097.0,1.0,0,0,0,0,0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,20,40,16.63948883490299,33.27897766980598,0.0,31.0,7.75,15.500000000000002,240.25000000000003,2,0,0,1,3,0,0,0,2.0,10.333333333333334,0.0,15.5,0,0,0,0,0,0,0,0,0,10,513,245,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.37-40.77.226.250-51887-443-6,192.168.1.37,51887,40.77.226.250,443,6,07/07/2020 02:47:15 PM,1844121,6,6,1713.0,4390.0,1103.0,0.0,285.5,447.9922990409545,1360.0,0.0,731.6666666666667,676.9645977942026,3309.435769127948,6.507165202283365,167647.36363636365,406400.2146134455,1381292.0,4.0,1712008.0,342401.6,583931.7166538396,1383561.0,529.0,1734124.0,346824.8,580718.782889963,1381482.0,4.0,0,0,0,0,132,132,3.2535826011416824,3.2535826011416824,0.0,1360.0,469.46153846153845,586.7172253855366,344237.10256410256,1,2,0,6,11,0,0,0,1.0,508.5833333333333,285.5,731.6666666666666,0,0,0,0,5,11908,0,142,0,365,65340,1020,3,20,0,0,0,0,1.594129636153584E15,749712.4360665136,1.594129637215897E15,1.594129635508396E15,NeedManualLabel
192.168.1.37-40.77.226.250-51887-443-6,192.168.1.37,51887,40.77.226.250,443,6,07/07/2020 02:47:17 PM,1167,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,26563.838903170523,2570.694087403599,583.5,615.8900064134829,1019.0,148.0,1167.0,583.5,615.8900064134829,1019.0,148.0,0,0,0,0,0,0,0,0,0,60,0,2570.694087403599,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,516,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.37-40.77.226.250-51892-443-6,192.168.1.37,51892,40.77.226.250,443,6,07/07/2020 02:48:07 PM,2228097,8,8,1936.0,4390.0,809.0,0.0,242.0,322.7551039764625,1360.0,0.0,548.75,664.8748002443768,2839.194164347423,7.1810159072966755,148539.80000000005,229371.39216475972,846674.0,140.0,2069288.0,295612.5714285714,346912.43976679817,987845.0,675.0,2132823.0,304689.0,293151.65038139105,846674.0,11104.0,0,0,0,0,172,184,3.5905079536483377,3.5905079536483377,0.0,1360.0,372.1176470588235,521.2433311747188,271694.61029411765,1,2,0,7,15,0,0,0,1.0,395.375,242.0,548.75,0,0,0,0,9,2967,0,121,0,274,65340,1021,4,20,0,0,0,0,1.594129688490862E15,842114.0049426712,1.594129689495834E15,1.594129687280156E15,NeedManualLabel
192.168.1.37-40.77.226.250-51892-443-6,192.168.1.37,51892,40.77.226.250,443,6,07/07/2020 02:48:09 PM,1541,3,0,31.0,0.0,31.0,0.0,10.333333333333332,17.8978583448784,0,0,0,0,20116.807268007786,1946.7878001297859,770.5,860.5489527040284,1379.0,162.0,1541.0,770.5,860.5489527040284,1379.0,162.0,0,0,0,0,0,0,0,0,0,60,0,1946.7878001297859,0.0,0.0,31.0,7.75,15.500000000000002,240.25000000000003,1,0,0,1,3,0,0,0,0.0,10.333333333333334,10.333333333333334,0.0,0,0,0,0,0,0,1,10,0,0,517,0,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.37-157.240.195.9-51886-443-6,192.168.1.37,51886,157.240.195.9,443,6,07/07/2020 02:47:05 PM,77026425,124,142,3430.0,153254.0,598.0,0.0,27.66129032258065,102.70978033850193,1360.0,0.0,1079.2535211267607,521.8724802342152,2034.159056453678,3.453360324070603,290665.7547169812,3031579.2222056994,4.5000075E7,1.0,7.7026425E7,626231.0975609757,4437711.030803514,4.5000075E7,24.0,7.6972702E7,545905.6879432625,4151151.242264177,4.505411E7,1.0,0,0,0,0,4244,2852,1.6098371435517096,1.8435231805188932,0.0,1360.0,586.8314606741577,652.4872464853653,425739.6068260539,1,2,0,31,265,0,0,0,1.0,589.0375939849624,27.661290322580644,1079.2535211267605,0,0,0,0,49,39395,0,12,0,576,64240,147,12,20,0,0,0,0,1.5941296321416052E15,6583093.540513337,1.59412970233878E15,1.594129625366677E15,NeedManualLabel
192.168.1.33-255.255.255.255-49155-25860-17,192.168.1.33,49155,255.255.255.255,25860,17,07/07/2020 02:46:27 PM,118885568,100,0,10800.0,0.0,108.0,108.0,108.0,0.0,0,0,0,0,90.84365900493489,0.8411449907864342,1200864.3232323232,45588.50544390265,1231621.0,1123389.0,1.18885568E8,1200864.3232323232,45588.50544390265,1231621.0,1123389.0,0,0,0,0,0,0,0,0,0,800,0,0.8411449907864342,0.0,108.0,108.0,108.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,109.08,108.0,0.0,0,0,0,0,0,0,1,108,0,0,0,0,99,8,0,0,0,0,1.5941296464330522E15,3.4150903591348335E7,1.594129704670837E15,1.594129588241719E15,NeedManualLabel
192.168.1.39-239.255.255.250-43946-1900-17,192.168.1.39,43946,239.255.255.250,1900,17,07/07/2020 02:46:27 PM,90082052,8,0,752.0,0.0,94.0,94.0,94.0,0.0,0,0,0,0,8.34794482701171,0.08880792369161394,1.286886457142857E7,1.5994903631322967E7,2.9975839E7,43847.0,9.0082052E7,1.286886457142857E7,1.5994903631322967E7,2.9975839E7,43847.0,0,0,0,0,0,0,0,0,0,64,0,0.08880792369161394,0.0,94.0,94.0,94.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,105.75,94.0,0.0,0,0,0,0,0,0,1,94,0,0,0,0,7,8,0,0,0,0,1.5941296327997425E15,3.143772196855945E7,1.594129677754184E15,1.594129587849779E15,NeedManualLabel
192.168.1.33-239.255.255.250-49154-1900-17,192.168.1.33,49154,239.255.255.250,1900,17,07/07/2020 02:46:29 PM,90498961,8,0,1104.0,0.0,138.0,138.0,138.0,0.0,0,0,0,0,12.199035080634793,0.08839880493213619,1.2928423E7,1.6080189711618042E7,3.0188349E7,30910.0,9.0498961E7,1.2928423E7,1.6080189711618042E7,3.0188349E7,30910.0,0,0,0,0,0,0,0,0,0,64,0,0.08839880493213619,0.0,138.0,138.0,138.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,155.25,138.0,0.0,0,0,0,0,0,0,1,138,0,0,0,0,7,8,0,0,0,0,1.5941296348992625E15,3.160911658770674E7,1.594129680005392E15,1.594129589649259E15,NeedManualLabel
