Flow IAT Mean,Tot Bwd Pkts,Fwd Header Len,Fwd IAT Std,Init Bwd Win Byts,Subflow Fwd Pkts,Bwd Header Len,ECE Flag Cnt,Flow Duration,Subflow Fwd Byts,Fwd Pkt Len Max,Bwd IAT Std,Subflow Bwd Byts,CWE Flag Count,SYN Flag Cnt,Pkt Len Var,Pkt Len Std,Flow IAT Std,Bwd Pkts/s,Pkt Len Max,Pkt Size Avg,Active Mean,Flow IAT Max,RST Flag Cnt,Idle Std,Bwd Pkt Len Max,Fwd IAT Mean,Bwd IAT Min,Fwd Pkt Len Std,Active Std,Fwd IAT Min,Bwd IAT Mean,Idle Max,Idle Min,Label,Pkt Len Mean,Pkt Len Min,Bwd Pkt Len Std,Tot Fwd Pkts,TotLen Fwd Pkts,Fwd Pkts/s,Bwd Seg Size Avg,Fwd Seg Size Avg,Dst Port,Fwd IAT Max,Down/Up Ratio,Fwd Seg Size Min,Init Fwd Win Byts,Fwd Pkt Len Min,Bwd IAT Max,Fwd Act Data Pkts,PSH Flag Cnt,Protocol,ACK Flag Cnt,Flow IAT Min,Subflow Bwd Pkts,Active Min,Fwd Pkt Len Mean,Fwd PSH Flags,FIN Flag Cnt,Fwd URG Flags,URG Flag Cnt,Active Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd IAT Tot,Idle Mean,Fwd IAT Tot,TotLen Bwd Pkts
60251,8351.14,22.0,712.0,25363.021,230.0,22.0,712.0,0.0,359099.0,1928.0,640.0,33902.6,2665.0,0.0,0.0,41510.383,203.74097,18960.213,61.264442,976.0,104.38636,0.0,78434.0,0.0,0.0,976.0,17077.238,9.0,137.78055,0.0,230.0,17099.191000000006,0.0,0.0,1.0,102.066666,0.0,258.64157,22.0,1928.0,61.264442,121.13636000000001,87.63636,22.0,78434.0,1.0,32.0,26883.0,0.0,117440.0,16.0,1.0,6.0,0.0,4.0,22.0,0.0,87.63636,0.0,0.0,0.0,0.0,0.0,0.0,121.13636000000001,359083.0,0.0,358622.0,2665.0
44201,417.0,1.0,8.0,0.0,-1.0,1.0,8.0,0.0,417.0,40.0,40.0,0.0,56.0,0.0,0.0,85.333336,9.237604,0.0,2398.0815,56.0,68.0,0.0,417.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.333332,40.0,0.0,1.0,40.0,2398.0815,56.0,40.0,53.0,0.0,1.0,8.0,-1.0,40.0,0.0,0.0,0.0,17.0,0.0,417.0,1.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,56.0
48650,19.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,105263.16,0.0,0.0,52859.0,19.0,0.0,20.0,259.0,0.0,0.0,0.0,0.0,6.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
68887,410.0,0.0,64.0,0.0,-1.0,2.0,0.0,0.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,410.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4878.049,0.0,0.0,80.0,410.0,0.0,32.0,225.0,0.0,0.0,0.0,0.0,6.0,1.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0
85848,156248.33,4.0,72.0,167.5843,211.0,3.0,92.0,1.0,937490.0,20.0,20.0,540897.25,964.0,0.0,0.0,115523.43,339.8874,382522.47,4.266712,964.0,140.57143,0.0,937069.0,1.0,0.0,964.0,194.5,25.0,11.547006,0.0,76.0,312494.66,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,3.2000341,241.0,6.666666499999999,80.0,313.0,1.0,20.0,8192.0,0.0,937069.0,1.0,1.0,6.0,0.0,6.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,937484.0,0.0,389.0,964.0
86550,8722.511999999999,22.0,712.0,28850.549,230.0,22.0,712.0,0.0,375068.0,1928.0,640.0,37120.65,2665.0,0.0,0.0,41510.383,203.74097,20394.03,58.65603,976.0,104.38636,0.0,100414.0,0.0,0.0,976.0,17857.857,8.0,137.78055,0.0,295.0,17860.143,0.0,0.0,1.0,102.066666,0.0,258.64157,22.0,1928.0,58.65603,121.13636000000001,87.63636,22.0,100414.0,1.0,32.0,26883.0,0.0,140184.0,16.0,1.0,6.0,0.0,2.0,22.0,0.0,87.63636,0.0,0.0,0.0,0.0,0.0,0.0,121.13636000000001,375063.0,0.0,375015.0,2665.0
27890,268083.16,4.0,72.0,230.51682000000002,211.0,3.0,92.0,1.0,1608499.0,20.0,20.0,928356.1,964.0,0.0,0.0,115523.43,339.8874,656489.6,2.4867904,964.0,140.57143,0.0,1608137.0,1.0,0.0,964.0,164.0,26.0,11.547006,0.0,1.0,536163.7,0.0,0.0,1.0,123.0,0.0,482.0,3.0,20.0,1.8650929,241.0,6.666666499999999,80.0,327.0,1.0,20.0,8192.0,0.0,1608137.0,1.0,1.0,6.0,0.0,1.0,4.0,0.0,6.666666499999999,0.0,0.0,0.0,0.0,0.0,0.0,241.0,1608491.0,0.0,328.0,964.0
53122,4654433.0,13.0,272.0,22572692.0,31.0,13.0,272.0,1.0,116360819.0,589.0,189.0,22597734.0,5667.0,0.0,0.0,222789.9,472.00625999999994,16061598.0,0.111721456,1460.0,240.61539,119985.5,58044418.0,1.0,32485.193,1460.0,9696735.0,1.0,67.5085,59454.246,206.0,9690250.0,58044418.0,57998477.0,0.0,231.7037,0.0,625.1883,13.0,589.0,0.111721456,435.92307,45.307693,443.0,58045403.0,1.0,20.0,8192.0,0.0,58076421.0,6.0,1.0,6.0,0.0,1.0,13.0,77945.0,45.307693,0.0,0.0,0.0,0.0,162026.0,0.0,435.92307,116283000.0,58021450.0,116360819.0,5667.0
53866,477.0,0.0,40.0,0.0,-1.0,2.0,0.0,0.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,477.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4192.872,0.0,0.0,8080.0,477.0,0.0,20.0,2052.0,0.0,0.0,0.0,0.0,6.0,1.0,477.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,0.0
97447,3173294.2,21.0,352.0,19986460.0,1022.0,17.0,432.0,1.0,117411888.0,1146.0,288.0,18038858.0,7423.0,0.0,0.0,207533.36,455.5583,13417325.0,0.17885752,1460.0,225.5,129961.5,58919855.0,1.0,541428.1,1460.0,7338243.0,0.0,99.8205,73559.61,28.0,5866682.0,58919855.0,58154160.0,0.0,219.71794,0.0,587.7286,17.0,1146.0,0.14478943,353.4762,67.411766,443.0,58919855.0,1.0,20.0,8192.0,0.0,58992325.0,8.0,1.0,6.0,0.0,0.0,21.0,77947.0,67.411766,0.0,0.0,0.0,0.0,181976.0,0.0,353.4762,117333643.0,58537010.0,117411888.0,7423.0
